nodes,run,backend,time_s
460,4,mongodb,0.002312
460,4,redis,0.002335
460,5,mongodb,0.002244
460,5,redis,0.002296
460,6,mongodb,0.002283
460,6,redis,0.002367
460,7,mongodb,0.002261
460,7,redis,0.002228
460,8,mongodb,0.002252
460,8,redis,0.002333
460,9,mongodb,0.002255
460,9,redis,0.002301
460,10,mongodb,0.002244
460,10,redis,0.002144
470,1,mongodb,0.002345
470,1,redis,0.002454
470,2,mongodb,0.002380
470,2,redis,0.002434
470,3,mongodb,0.002346
470,3,redis,0.002407
470,4,mongodb,0.002405
470,4,redis,0.002430
470,5,mongodb,0.002304
470,5,redis,0.002397
470,6,mongodb,0.002324
470,6,redis,0.002391
470,7,mongodb,0.002287
470,7,redis,0.002410
470,8,mongodb,0.002273
470,8,redis,0.002407
470,9,mongodb,0.002294
470,9,redis,0.002416
470,10,mongodb,0.002313
470,10,redis,0.002391
480,1,mongodb,0.002403
480,1,redis,0.002500
480,2,mongodb,0.002412
480,2,redis,0.002450
480,3,mongodb,0.002522
480,3,redis,0.002253
480,4,mongodb,0.002330
480,4,redis,0.002216
480,5,mongodb,0.002314
480,5,redis,0.002470
480,6,mongodb,0.002303
480,6,redis,0.002182
480,7,mongodb,0.002333
480,7,redis,0.002200
480,8,mongodb,0.002485
480,8,redis,0.002274
480,9,mongodb,0.002313
480,9,redis,0.002258
480,10,mongodb,0.002333
480,10,redis,0.002270
490,1,mongodb,0.002421
490,1,redis,0.002302
490,2,mongodb,0.002473
490,2,redis,0.002312
490,3,mongodb,0.002444
490,3,redis,0.002284
490,4,mongodb,0.002408
490,4,redis,0.002234
490,5,mongodb,0.002478
490,5,redis,0.002293
490,6,mongodb,0.002376
490,6,redis,0.002248
490,7,mongodb,0.002350
490,7,redis,0.002240
490,8,mongodb,0.002422
490,8,redis,0.002734
490,9,mongodb,0.003542
490,9,redis,0.002225
490,10,mongodb,0.002410
490,10,redis,0.002263
500,1,mongodb,0.024910
500,1,redis,0.003366
500,2,mongodb,0.004780
500,2,redis,0.002673
500,3,mongodb,0.002972
500,3,redis,0.002508
500,4,mongodb,0.002749
500,4,redis,0.002377
500,5,mongodb,0.002906
500,5,redis,0.002508
500,6,mongodb,0.002363
500,6,redis,0.002526
500,7,mongodb,0.002866
500,7,redis,0.002559
500,8,mongodb,0.002816
500,8,redis,0.002516
500,9,mongodb,0.002985
500,9,redis,0.002508
500,10,mongodb,0.002332
500,10,redis,0.002560
510,1,mongodb,0.002673
510,1,redis,0.002445
510,2,mongodb,0.002601
510,2,redis,0.002414
510,3,mongodb,0.002624
510,3,redis,0.002343
510,4,mongodb,0.002511
510,4,redis,0.002431
510,5,mongodb,0.002751
510,5,redis,0.002364
510,6,mongodb,0.002663
510,6,redis,0.002427
510,7,mongodb,0.002537
510,7,redis,0.002475
510,8,mongodb,0.002551
510,8,redis,0.002363
510,9,mongodb,0.002872
510,9,redis,0.002386
510,10,mongodb,0.002638
510,10,redis,0.002411
520,1,mongodb,0.002712
520,1,redis,0.002543
520,2,mongodb,0.002973
520,2,redis,0.002505
520,3,mongodb,0.002659
520,3,redis,0.002581
520,4,mongodb,0.002532
520,4,redis,0.002616
520,5,mongodb,0.002570
520,5,redis,0.002424
520,6,mongodb,0.002866
520,6,redis,0.002586
520,7,mongodb,0.002596
520,7,redis,0.002607
520,8,mongodb,0.002556
520,8,redis,0.002407
520,9,mongodb,0.002720
520,9,redis,0.002414
520,10,mongodb,0.002529
520,10,redis,0.002377
530,1,mongodb,0.002652
530,1,redis,0.002620
530,2,mongodb,0.002663
530,2,redis,0.002613
530,3,mongodb,0.002623
530,3,redis,0.002459
530,4,mongodb,0.002500
530,4,redis,0.002408
530,5,mongodb,0.002545
530,5,redis,0.002627
530,6,mongodb,0.002536
530,6,redis,0.002446
530,7,mongodb,0.002541
530,7,redis,0.002428
530,8,mongodb,0.002527
530,8,redis,0.002466
530,9,mongodb,0.002521
530,9,redis,0.002469
530,10,mongodb,0.002517
530,10,redis,0.002447
540,1,mongodb,0.002668
540,1,redis,0.002631
540,2,mongodb,0.002687
540,2,redis,0.002813
540,3,mongodb,0.002624
540,3,redis,0.002557
540,4,mongodb,0.002569
540,4,redis,0.002548
540,5,mongodb,0.002580
